Membership No  Date Joined  Active  
    45364      2018-9-5     no    
    89791      2016-4-14    no    
    55281      2015-7-6     no    
Membership No  Date Joined  Active  
    78215      2015-6-25    no    
    62510      2017-8-8     no    
    15785      2019-11-25   no    
    38704      2016-8-23    no    
    76262      2020-5-4     no    
    26783      2019-10-17   no    
    47333      2017-10-21   no    
    54818      2018-12-22   no    
    50135      2015-12-16   no    
    36278      2015-8-9     no    
    79313      2019-6-17    no    
    76307      2016-1-8     no    
